가성콜린에스테르분해효소	Pseudocholinesterase phenotype
칼슘시안아미드	Calcium cyanamide
코로나바이러스	Coronavirus
코르티코스테론	Corticosterone
코프로포르피린	Coproporphyrin
콜레시스토키닌	Cholecystokinin
크로프로파미드	Cropropamide
크립토코쿠스종	Cryptococcus
클라부라네이트	Clavulanate
클로라제페이트	Clorazepate
클로로사이클린	Chlorocycline
클로로티아지드	Chlorothiazide
클로로프로마진	chlorproMAZINE
클로르메로드린	Chlormerodrin
클로르페니라민	Chlorpheniramine
클로르펜테르민	Chlorphentermine
클로르프레날린	Clorprenaline
클로르프로칙센	Chlorprothixene
클로르피리포스	Chlorpyrifos
클로피브레이트	Clofibrate
클리나플록사신	Clinafloxacin
태아섬유결합소	Fibronectin
테트라사이클린	Tetracycline
텔리트로마이신	Telithromycin
트라닐시프로민	Tranylcypromine
트란스케톨라제	Transketolase
트로바플록사신	Trovafloxacin
트롬보글로불린	Thromboglobulin
트리코모나스종	Trichomonas
트리클로로에탄	Trichloroethane
트리헥시페니딜	Trihexyphenidyl
트립신분해효소	Tryptase
파라알데하이드	Paraldehyde
팔미톨리에이트	Palmitoleate
페닐아세테이트	Phenylacetate
페닐피루브산염	Phenylpyruvate
펜타클로로페놀	Pentachlorophenol
포도당분해효소	Glucosidase
포르포빌리노겐	Porphobilinogen
포름알데하이드	Formaldehyde
포삼프레나비어	Fosamprenavir
포스파티드산염	Phosphatidate
포스파티딜세린	Phosphatidylserine
포스파티딜콜린	Phosphatidylcholine
폴리타이아지드	Polythiazide
프레그난트리올	Pregnanetriol
프로사이클리딘	Procyclidine
프로카인아미드	Procainamide
프로토포르피린	Protoporphyrin
프로트리프틸린	Protriptyline
프로필헥세드린	Propylhexedrine
프리칼리크레인	Prekallikrein
플라비바이러스	Flavivirus
플레케이타이드	Flecainide
플루니트라제팜	Flunitrazepam
플루드로콜티손	Fludrocortisone
피리도스티그민	Pyridostigmine
하이드로모르폰	HYDROmorphone
헤마토포르피린	Hematoporphyrin
헥사노일글리신	Hexanoylglycine
헥사카르복실산	Hexacarboxylate
헥사클로로벤젠	Hexachlorobenzene
헵타카르복실산	Heptacarboxylate
호염기적혈모구	Normoblasts
환원글루타티온	Glutathione
황체자극호르몬	Lutropin
가시아메바종	Acanthamoeba
갈락토스혈증	Galactosemias
감마인터페론	Interferon
개심장사상충	Dirofilaria immitis
개티플록사신	Gatifloxacin
거미줄곰팡이	Rhizopus nigricans
결합페니토인	Phenytoin
교감신경성약	Sympathomimetics
구포자충아강	Coccidia
그리세오풀빈	Griseofulvin
글루카곤항원	Glucagon
글루테티미드	Glutethimide
긴사슬지방산	Fatty acids
나이트로벤젠	Nitrobenzene
난형대적혈구	Macrocytes
네오스티그민	Neostigmine
노라스테미졸	Norastemizole
노르페네프린	Norfenefrine
노보바이오신	Novobiocin
노카르디아종	Nocardia
뉴베리아이트	Newberyite crystals
니코틴아미드	Nicotinamide
다염적혈모구	Normoblasts
단풍잎돼지풀	Ambrosia trifida
달걀노른자위	Egg yolk
데카노에이트	Decanoate
독시사이클린	Doxycycline
동위구연산염	Isocitrate
디니트로페놀	Dinitrophenol
디메토에이트	Dimethoate
디사이클로민	Dicyclomine
디소피라미드	Disopyramide
디아조메테인	Diazomethane
디아족사이드	Diazoxide
디에탄올아민	Diethanolamine
디클로로벤젠	Dichlorobenzene
디클로로에탄	Dichloroethane
디클로르보스	Dichlorvos
디클록사실린	Dicloxacillin
디프테리아균	Corynebacterium diphtheriae
디프테리아종	Diphtheria
레베티라세탐	levETIRAcetam
레보암페타민	Levoamphetamine
레보플록사신	levoFLOXacin
레오바이러스	Reovirus
레파글리니드	Repaglinide
로르메타제팜	Lormetazepam
로타바이러스	Rotavirus
로페라마이드	Loperamide
리노바이러스	Rhinovirus
리메사이클린	Lymecycline
리보바이러스	Rhinovirus
마이오글로빈	Myoglobin
만손주혈흡충	Schistosoma mansoni
말레산무수물	Maleic anhydride
메도우페스큐	Festuca elatior
메조포르피린	Mesoporphyrin
메타암페타민	Methamphetamine
메트로니다졸	metroNIDAZOLE
목시플록사신	Moxifloxacin
무정형인산염	Phosphate crystals
미분획헤파린	Heparin
미성숙단핵구	Monocytes
미성숙림프구	Lymphocytes
미세과립원주	Granular casts
미숙호염기구	Basophils
바르토넬라종	Bartonella
바르트혈색소	Hemoglobin Barts
바이오마이신	Viomycin
바이오프테린	Biopterin
방광주혈흡충	Schistosoma haematobium
버크홀데리종	Burkholderia
베타락타마제	Beta lactamase
베타인터페론	Interferon
베타지질단백	Lipoprotein
벤조나테이트	Benzonatate
벤조디아제핀	Benzodiazepines
벤조삼염화물	Benzotrichloride
벨프로에이트	Valproate
보르데텔라종	Bordetella
부로모크립틴	Bromocriptine
부메타나이드	Bumetanide
부타바르비탈	Butabarbital
부티릴글리신	Butyrylglycine
분엽핵호중구	Neutrophils
불안정혈색소	Hemoglobin
브롬페니라민	Brompheniramine
비단백질질소	Nitrogen
비정형림프구	Lymphocytes
사염화에틸렌	Tetrachloroethylene
사이토케라틴	Soluble liver
살리노마이신	Salinomycin
삼염화에틸렌	Trichloroethylene
삼요드티로닌	Triiodothyronine
설탕분해효소	Sucrase
설포시스테인	Sulfocysteine
설폰아마이드	Sulfonamide crystals
세코바르비탈	Secobarbital
세프트리악손	cefTRIAXone
손네이이질균	Shigella sonnei
수베릴글리신	Suberylglycine
숙시닐아세톤	Succinylacetone
술파메톡사졸	Sulfamethoxazole
술포닐우레아	Sulfonylurea
슈도에페드린	Pseudoephedrine
스위트아몬드	Prunus dulcis
스타필롤리신	Staphylolysin
스테르코빌린	Stercobilin
스피라마이신	Spiramycin
스피로놀락톤	Spironolactone
시사프라이드	Cisapride
시스타티오닌	Cystathionine
시알리다아제	Sialidase
시클로스포린	cycloSPORINE
시클로프로판	Cyclopropane
시클로헥사논	Cyclohexanone
시클로헥산올	Cyclohexanol
시프로헵타딘	Cyproheptadine
심장전도근육	Purkinje cells
아라키돈산염	Arachidonate
아리피프라졸	ARIPiprazole
아모바르비탈	Amobarbital
아미트립틸린	Amitriptyline
아밀로라이드	aMILoride
아빌라마이신	Avilamycin
아세트산에틸	Ethyl acetate
아실글라이신	Acylglycines
아자티오프린	azaTHIOprine
아코니테이트	Aconitate
아크릴산에틸	Ethyl acrylate
아타자나비르	Atazanavir
아프라마이신	Apramycin
안드로스테론	Androsterone
알로바르비탈	Allobarbital
알로이소류신	Alloisoleucine
알테나리아종	Alternaria
알파인터페론	Interferon
알파지질단백	Lipoprotein
억제디부케인	Cholinesterase
에르고스테롤	Ergosterol
에를리히아종	Ehrlichia
에스트라디올	Estradiol
에코바이러스	Echovirus
에토숙시미드	Ethosuximide
에티나메이트	Ethinamate
에티오나미드	Ethionamide
에틸암페타민	Ethylamphetamine
엔로푸록사신	Enrofloxacin
엠트리시타빈	Emtricitabine
예르시니아종	Yersinia
오르페나드린	Orphenadrine
오스테오넥틴	Osteonectin
오스테오칼신	Osteocalcin
옥수수꽃가루	Zea mays pollen
옥스카바제핀	OXcarbazepine
옥스프레놀롤	Oxprenolol
옥시메스테론	Oxymesterone
옥시페니사틴	Oxyphenisatin
옥시펜부타존	Oxyphenbutazone
옥타노에이트	Octanoate
요소분해효소	Urease
용해성섬유소	Fibrin
우로빌리노겐	Urobilinogen
우로포르피린	Uroporphyrin
우형바베시아	Babesia bovis
운코세르카종	Onchocerca
유리마그네슘	Magnesium
유리옥시코돈	oxyCODONE
유리이노시톨	Inositol
유리카르니틴	Carnitine
유리트립토판	Tryptophan
유리페니토인	Phenytoin
유리프로락틴	Prolactin
이니트로벤젠	Dinitrobenzene
이소니아지드	Isoniazid
이소말타아제	Isomaltase
이소프로판올	Isopropanol
이염색백혈구	Heterophils
인산분해효소	Phosphatase
인플루엔자균	Haemophilus influenzae
일본주혈흡충	Schistosoma japonicum
입모양적혈구	Stomatocytes
자유아메바종	Naegleria
작은와포자충	Cryptosporidium parvum
적혈구부동증	Anisocytosis
적혈구용적률	Erythrocyte
조니사마이드	Zonisamide
조대과립원주	Granular casts
집먼지진드기	Dermatophagoides sp House dust mite IgE Ab
창자글루카곤	Enteroglucagon
창자바이러스	Enterovirus
체내기생식물	Endophyte
총아밀라아제	Amylase
총아세틸콜린	Acetylcholine
총콜레스테롤	Cholesterol
총표면활성제	Surfactant
카르바마제핀	carBAMazepine
카르바메이트	Carbamates
카르베니실린	Carbenicillin
카리소프로돌	Carisoprodol
카크나일에스	CACNA1S
카크나일에이	CACNA1A
캄필로박터종	Campylobacter
콜레칼시페롤	Cholecalciferol
콜릴글라이신	Cholylglycine
크로모그라닌	Chromogranin
크로테타미드	Crotetamide
크실룰로오스	Xylulose
클라미디아종	Chlamydia
클로람페니콜	Chloramphenicol
클로르메자논	Chlormezanone
클로르족사존	Chlorzoxazone
클로르탈리돈	Chlorthalidone
클로미프라민	clomiPRAMINE
클로벤조렉스	Clobenzorex
클로트리마졸	Clotrimazole
클린다마이신	Clindamycin
타크로리무스	Tacrolimus
탈산소혈색소	Deoxyhemoglobin
테마플록사신	Temafloxacin
테스토스테론	Testosterone
테이코플라닌	Teicoplanin
토로바이러스	Torovirus
토브라마이신	Tobramycin
토피라메이트	Topiramate
톨부타마이드	TOLBUTamide
트라이아졸람	Triazolam
트레포네마종	Treponema
트리메타디온	Trimethadione
트리메토프림	Trimethoprim
