chapter	code	kind	preferred	inclusions	exclusions	depth	id
H	HS03	symptom	Tinnitus, ringing or buzzing ear	echo in ear	ears crackling/popping HS99	0	358
H	HS04	symptom	Ear discharge	otorrhoea	blood in/from ear HS05	0	359
H	HS05	symptom	Bleeding ear	blood from ear;blood in ear;hemorrhage from the ear;otorrhagia		0	360
H	HS06	symptom	Plugged feeling in ear	blocked ear	excessive ear wax HD66	0	361
H	HS90	complaint	Concern or fear of ear disease	fear of deafness		0	362
H	HS91	complaint	Concern about appearance of ears		bat ears/congenital anomaly ear HD55	0	363
H	HS99	symptom	Other specified symptoms, complaints, abnormal findings of ear	ears crackling;ears popping;itchy ears;pulling at ears		0	364
K	KS01	symptom	Pain, pressure, tightness of heart	heaviness of heart;pain attributed to the heart	angina pectoris KD65;chest pain NOS AS12;chest pain attributed to the musculoskeletal system LS04;chest tightness RS99;fear of heart attack KS90;shortness  of breath, dyspnoea RS02	0	381
K	KS02	symptom	Palpitations, awareness of heart	bradycardia;tachycardia	paroxysmal tachycardia KD69	0	382
K	KS03	symptom	Irregular heartbeat		palpitations, awareness of heart KS02	0	383
K	KS04	symptom	Ankle oedema	swollen feet;swollen legs	anasarca/generalized oedema AS09;ankle symptom LS15;localized swelling SS03	0	384
K	KS50	clinicalFinding	Low blood pressure	idiopathic hypotension	postural hypotension KD75	0	385
K	KS51	clinicalFinding	Elevated blood pressure	labile hypertension;transient hypertension ;white coat hypertension 	hypertension, uncomplicated KD73;hypertension, complicated KD74	0	386
K	KS52	clinicalFinding	Heart murmur or arterial murmur or both	cardiac artery bruit;carotid artery bruit;innocent murmur of childhood;renal artery bruit	cerebrovascular disease ND70;rheumatic heart disease KD02;valve disease KD71	0	387
K	KS90	complaint	Concern or fear of disease of circulatory system	fear of heart attack;fear of heart disease;fear of hypertension		0	388
K	KS99	symptom	Other specified symptoms, complaints, abnormal findings of circulatory system	cardiovascular pain;non-neoplastic nevus;prominent veins;spider naevus;telangiectasis	cyanosis SS07	0	389
L	LS01	symptom	Neck symptom or complaint	cervicalgia;neck symptom;pain attributed to cervical spine;neck stiffness		0	411
L	LS02	symptom	Back symptom or complaint	backache;dorsalgia;thoracic back pain	low back pain LS03	0	412
L	LS03	symptom	Low back symptom or complaint	coccydynia;lumbago;lumbalgia;lumbar and sacroiliac back pain	sciatica LD67;thoracic back pain LS02	0	413
L	LS04	symptom	Musculoskeletal chest symptom or complaint	chest pain attributed to musculoskeletal system;intercostal pain;swelling on chest	chest pain AS12;intercostal neuralgia ND77;pain attributed to the heart KS01;painful respiration/pleuritic pain/pleurodynia RS01	0	414
L	LS05	symptom	Flank or axilla symptom or complaint	flank pain;loin pain;pain in axilla	kidney symptom US07	0	415
